global_env_steps,update_idx,phase,rl_variant,init_mode,steps_per_sec,elapsed_sec,eta_sec,mean_episode_return,mean_terminal_lambda2_norm,mean_init_edges,mean_init_lambda2,mean_init_build_runtime_sec,mean_init_cache_hit,policy_loss,value_loss,entropy,approx_kl,learning_rate,selector_loss,selector_recall_at_k,selector_k_mean,selector_learning_rate,best_eval_metric
2200,1,phase_a_12_16,full,path,36.428574318954595,60.392152070999146,32880.781704837624,2.548538759843976,0.34548241049626816,13.122448979591837,0.0,0.0,0.0,-0.000272755729383789,0.0993647446448449,3.932876879349351,-2.883092383854091e-05,0.0002994871794871795,0.0,0.0,0.0,0.0,0.2509384419322604
2400,1,phase_a_12_16,full,path,39.45849601132981,60.823402881622314,30350.878037929535,2.532460184171848,0.3367139783050014,13.145454545454545,0.0,0.0,0.0,-0.000272755729383789,0.0993647446448449,3.932876879349351,-2.883092383854091e-05,0.0002994871794871795,0.0,0.0,0.0,0.0,0.2509384419322604
2600,1,phase_a_12_16,full,path,42.399472275949314,61.32151794433594,28240.917533287637,2.523011015776415,0.339581014274346,13.033898305084746,0.0,0.0,0.0,-0.000272755729383789,0.0993647446448449,3.932876879349351,-2.883092383854091e-05,0.0002994871794871795,0.0,0.0,0.0,0.0,0.2509384419322604
2800,1,phase_a_12_16,full,path,45.36154377484028,61.72629427909851,26392.39982533455,2.5207645714134,0.3332751764572351,12.984126984126984,0.0,0.0,0.0,-0.000272755729383789,0.0993647446448449,3.932876879349351,-2.883092383854091e-05,0.0002994871794871795,0.0,0.0,0.0,0.0,0.2509384419322604
3000,1,phase_a_12_16,full,path,47.5514530122074,63.08955478668213,25172.73235988617,2.508247330245249,0.33012246889853275,13.071428571428571,0.0,0.0,0.0,-0.000272755729383789,0.0993647446448449,3.932876879349351,-2.883092383854091e-05,0.0002994871794871795,0.0,0.0,0.0,0.0,0.2509384419322604
3200,1,phase_a_12_16,full,path,50.2647435529104,63.66291308403015,23809.929493427277,2.4603624998658487,0.32064767061844685,13.064935064935066,0.0,0.0,0.0,-0.000272755729383789,0.0993647446448449,3.932876879349351,-2.883092383854091e-05,0.0002994871794871795,0.0,0.0,0.0,0.0,0.2509384419322604
3400,1,phase_a_12_16,full,path,53.009443026835264,64.13951563835144,22573.336592015097,2.473250851516687,0.32477750784448195,13.075949367088608,0.0,0.0,0.0,-0.000272755729383789,0.0993647446448449,3.932876879349351,-2.883092383854091e-05,0.0002994871794871795,0.0,0.0,0.0,0.0,0.2509384419322604
3600,1,phase_a_12_16,full,path,55.75638273916013,64.56659889221191,21457.633031845093,2.470355082614995,0.32989509973624714,13.05952380952381,0.0,0.0,0.0,-0.000272755729383789,0.0993647446448449,3.932876879349351,-2.883092383854091e-05,0.0002994871794871795,0.0,0.0,0.0,0.0,0.2509384419322604
3800,1,phase_a_12_16,full,path,58.39557066460966,65.07342863082886,20484.430349525654,2.487036679974914,0.33112296312241235,13.079545454545455,0.0,0.0,0.0,-0.000272755729383789,0.0993647446448449,3.932876879349351,-2.883092383854091e-05,0.0002994871794871795,0.0,0.0,0.0,0.0,0.2509384419322604
4000,1,phase_a_12_16,full,path,59.34436355061291,67.40319991111755,20153.55677342415,2.4920617086747634,0.3390593363654205,13.063157894736841,0.0,0.0,0.0,-0.000272755729383789,0.0993647446448449,3.932876879349351,-2.883092383854091e-05,0.0002994871794871795,0.0,0.0,0.0,0.0,0.3110396507537808
4200,2,phase_a_12_16,full,path,35.51436380407304,118.26200866699219,33670.88332475935,2.509352774435286,0.34080144514224026,13.06,0.0,0.0,0.0,-0.002434552472550422,0.05265197131666355,3.8678003791719675,0.00027499065618030727,0.00029897435897435895,0.0,0.0,0.0,0.0,0.3110396507537808
4400,2,phase_a_12_16,full,path,37.082058842974405,118.65576338768005,32242.006978706882,2.457795842930904,0.3274788054262479,13.036697247706423,0.0,0.0,0.0,-0.002434552472550422,0.05265197131666355,3.8678003791719675,0.00027499065618030727,0.00029897435897435895,0.0,0.0,0.0,0.0,0.3110396507537808
4600,2,phase_a_12_16,full,path,38.64786211189701,119.02340126037598,30930.55953622901,2.4345757405643353,0.32031362298208427,13.043859649122806,0.0,0.0,0.0,-0.002434552472550422,0.05265197131666355,3.8678003791719675,0.00027499065618030727,0.00029897435897435895,0.0,0.0,0.0,0.0,0.3110396507537808
4800,2,phase_a_12_16,full,path,40.19110720856589,119.4294044971466,29737.9217197895,2.4426226231655264,0.3216605966385065,13.0,0.0,0.0,0.0,-0.002434552472550422,0.05265197131666355,3.8678003791719675,0.00027499065618030727,0.00029897435897435895,0.0,0.0,0.0,0.0,0.3110396507537808
5000,2,phase_a_12_16,full,path,41.725047406375296,119.83209872245789,28639.871594667435,2.4348824308629573,0.3206364739948676,12.983870967741936,0.0,0.0,0.0,-0.002434552472550422,0.05265197131666355,3.8678003791719675,0.00027499065618030727,0.00029897435897435895,0.0,0.0,0.0,0.0,0.3110396507537808
5200,2,phase_a_12_16,full,path,43.23731236008087,120.26649475097656,27633.539986243613,2.444554157667275,0.3260238918311882,12.976744186046512,0.0,0.0,0.0,-0.002434552472550422,0.05265197131666355,3.8678003791719675,0.00027499065618030727,0.00029897435897435895,0.0,0.0,0.0,0.0,0.3110396507537808
5400,2,phase_a_12_16,full,path,44.74142445737398,120.69351983070374,26700.088664770126,2.433624428606267,0.3222753221250907,12.977611940298507,0.0,0.0,0.0,-0.002434552472550422,0.05265197131666355,3.8678003791719675,0.00027499065618030727,0.00029897435897435895,0.0,0.0,0.0,0.0,0.3110396507537808
5600,2,phase_a_12_16,full,path,46.25117216515774,121.07801246643066,25824.210373197286,2.4555297582380256,0.32796091825131113,12.978571428571428,0.0,0.0,0.0,-0.002434552472550422,0.05265197131666355,3.8678003791719675,0.00027499065618030727,0.00029897435897435895,0.0,0.0,0.0,0.0,0.3110396507537808
5800,2,phase_a_12_16,full,path,47.7487793384032,121.46907377243042,25010.063430868347,2.439226899836895,0.3214516487510681,12.986394557823129,0.0,0.0,0.0,-0.002434552472550422,0.05265197131666355,3.8678003791719675,0.00027499065618030727,0.00029897435897435895,0.0,0.0,0.0,0.0,0.3110396507537808
