n,density,rho,m,density_actual,rho_actual,rho_conn,rho_conn_actual,m_max,m_actual,repeat_idx,method,method_label,warm_start_mode,completion_method,init_edges,residual_budget,lambda2,runtime_init_s,runtime_complete_s,runtime_lambda2_s,runtime_total_s
8,0.2857142857142857,0.2857142857142857,8,0.2857142857142857,0.2857142857142857,0.047619047619047616,0.047619047619047616,28,8,1,path_mac,MAC,path,mac,7,1,0.3376036697878202,4.875008016824722e-06,0.003021051990799606,2.7169007807970047e-05,0.0030530960066244006
8,0.32142857142857145,0.32142857142857145,9,0.32142857142857145,0.32142857142857145,0.09523809523809523,0.09523809523809523,28,9,1,path_mac,MAC,path,mac,7,2,0.5857864376269046,4.656030796468258e-06,0.002997268980834633,2.64569534920156e-05,0.003028381965123117
8,0.35714285714285715,0.35714285714285715,10,0.35714285714285715,0.35714285714285715,0.14285714285714285,0.14285714285714285,28,10,1,path_mac,MAC,path,mac,7,3,0.9160318901727007,4.374946001917124e-06,0.0030004780273884535,2.6547000743448734e-05,0.0030313999741338193
8,0.39285714285714285,0.39285714285714285,11,0.39285714285714285,0.39285714285714285,0.19047619047619047,0.19047619047619047,28,11,1,path_mac,MAC,path,mac,7,4,1.2679491924311233,4.265981260687113e-06,0.002995721995830536,2.5773013476282358e-05,0.0030257609905675054
8,0.42857142857142855,0.42857142857142855,12,0.42857142857142855,0.42857142857142855,0.23809523809523808,0.23809523809523808,28,12,1,path_mac,MAC,path,mac,7,5,1.3344199306231965,4.315981641411781e-06,0.002988004998769611,2.687005326151848e-05,0.0030191910336725414
8,0.4642857142857143,0.4642857142857143,13,0.4642857142857143,0.4642857142857143,0.2857142857142857,0.2857142857142857,28,13,1,path_mac,MAC,path,mac,7,6,1.5857864376269037,4.289962816983461e-06,0.0030043510487303138,2.6359979528933764e-05,0.003035000991076231
8,0.5,0.5,14,0.5,0.5,0.3333333333333333,0.3333333333333333,28,14,1,path_mac,MAC,path,mac,7,7,1.4384471871911706,4.5120250433683395e-06,0.0030181629699654877,2.6870984584093094e-05,0.003049545979592949
8,0.5357142857142857,0.5357142857142857,15,0.5357142857142857,0.5357142857142857,0.38095238095238093,0.38095238095238093,28,15,1,path_mac,MAC,path,mac,7,8,2.000000000000001,4.425994120538235e-06,0.0030178019660525024,2.6762019842863083e-05,0.0030489899800159037
8,0.5714285714285714,0.5714285714285714,16,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.42857142857142855,28,16,1,path_mac,MAC,path,mac,7,9,2.1300649496364987,4.358997102826834e-06,0.0030280310311354697,2.5824992917478085e-05,0.0030582150211557746
8,0.6071428571428571,0.6071428571428571,17,0.6071428571428571,0.6071428571428571,0.47619047619047616,0.47619047619047616,28,17,1,path_mac,MAC,path,mac,7,10,2.585786437626904,4.376983270049095e-06,0.0030277359765022993,2.655800199136138e-05,0.00305867096176371
8,0.6428571428571429,0.6428571428571429,18,0.6428571428571429,0.6428571428571429,0.5238095238095238,0.5238095238095238,28,18,1,path_mac,MAC,path,mac,7,11,2.5857864376268997,4.380999598652124e-06,0.003033776010852307,3.113801358267665e-05,0.003069295024033636
8,0.6785714285714286,0.6785714285714286,19,0.6785714285714286,0.6785714285714286,0.5714285714285714,0.5714285714285714,28,19,1,path_mac,MAC,path,mac,7,12,3.5188056959079836,4.274013917893171e-06,0.0030287220142781734,2.6947003789246082e-05,0.0030599430319853127
8,0.7142857142857143,0.7142857142857143,20,0.7142857142857143,0.7142857142857143,0.6190476190476191,0.6190476190476191,28,20,1,path_mac,MAC,path,mac,7,13,2.90213320977716,4.415982402861118e-06,0.003045357996597886,2.5590008590370417e-05,0.0030753639875911176
8,0.75,0.75,21,0.75,0.75,0.6666666666666666,0.6666666666666666,28,21,1,path_mac,MAC,path,mac,7,14,3.6570769172228266,4.369998350739479e-06,0.003036316018551588,2.753501757979393e-05,0.0030682210344821215
